ID	X	Y	r	
0	40	50	0
1	45	68	0
2	45	70	110
3	42	66	142
4	42	68	138
5	42	65	107
6	40	69	0
7	40	66	270
8	38	68	0
9	38	70	416
10	35	66	186
11	35	69	0
12	25	85	431
13	22	75	30
14	22	85	262
15	20	80	329
16	20	85	36
17	18	75	364
18	15	75	0
19	15	80	129
20	30	50	0
21	30	52	343
22	28	52	195
23	28	55	0
24	25	50	216
25	25	52	0
26	25	55	0
27	23	52	416
28	23	55	288
29	20	50	106
30	20	55	426
31	10	35	175
32	10	40	477
33	8	40	0
34	8	45	461
35	5	35	69
36	5	45	263
37	2	40	455
38	0	40	319
39	0	45	0
40	35	30	427
41	35	32	413
42	33	32	0
43	33	35	72
44	32	30	343
45	30	30	345
46	30	32	85
47	30	35	321
48	28	30	404
49	28	35	0
50	26	32	294
51	25	30	0
52	25	35	368
53	44	5	120
54	42	10	87
55	42	15	173
56	40	5	233
57	40	15	0
58	38	5	0
59	38	15	189
60	35	5	0
61	50	30	389
62	50	35	207
63	50	40	0
64	48	30	0
65	48	40	353
66	47	35	121
67	47	40	0
68	45	30	59
69	45	35	211
70	95	30	281
71	95	35	326
72	53	30	186
73	92	30	84
74	53	35	0
75	45	65	150
76	90	35	216
77	88	30	103
78	88	35	88
79	87	30	0
80	85	25	113
81	85	35	390
82	75	55	482
83	72	55	242
84	70	58	0
85	68	60	351
86	66	55	0
87	65	55	142
88	65	60	455
89	63	58	45
90	60	55	0
91	60	60	149
92	67	85	332
93	65	85	138
94	65	82	165
95	62	80	461
96	60	80	59
97	60	85	219
98	58	75	380
99	55	80	208
100	55	85	366
